City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
331,Mackay,AU,87.78,broken clouds,-21.15,149.2,International Lodge Motel
337,Houma,US,75.2,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
338,Vanimo,PG,79.93,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
351,Robertsport,LR,81.45,few clouds,6.7533,-11.3686,Kwepunha Retreat
357,Tecolutla,MX,84.06,broken clouds,20.4833,-97.0167,Hotel Plaza Marsol
366,Amahai,ID,82.96,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
367,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
372,Road Town,VG,78.89,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
373,La Palma,US,77.18,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
380,Bengkulu,ID,76.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
381,Pitimbu,BR,81.03,few clouds,-7.4706,-34.8086,Reserva do Abiaí
382,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
384,Karratha,AU,87.13,clear sky,-20.7377,116.8463,ibis Styles Karratha
386,Vao,NC,77.23,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
390,Yumbe,UG,75.85,overcast clouds,3.4651,31.2469,Terrain Hotel
392,Innisfail,AU,85.87,overcast clouds,-17.5333,146.0333,Moondarra Motel
393,Itarema,BR,79.52,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
396,Sulangan,PH,79.56,broken clouds,11.1373,123.7228,Maia's Beach Resort
399,Samarai,PG,81.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
400,Sumenep,ID,81.72,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
406,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
409,Manokwari,ID,80.29,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
410,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
414,Gigmoto,PH,80.82,scattered clouds,13.7796,124.39,Cj's Travellers Inn
417,Salinopolis,BR,76.23,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
420,Juba,SS,80.02,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
421,Nha Trang,VN,75.2,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
424,Lumphat,KH,75.07,few clouds,13.4878,106.9816,Lumphat Homestay
425,Santiago,CL,76.17,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
428,Kathu,TH,75.02,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
430,Ternate,ID,82.85,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
432,Ugoofaaru,MV,80.69,overcast clouds,5.6667,73.0,Ungoofaaru Inn
434,Faanui,PF,81.73,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
441,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
447,Manggar,ID,81.18,overcast clouds,-2.8833,108.2667,Guest Hotel
453,Kirakira,SB,85.46,broken clouds,-10.4544,161.9205,SanBiz Lodge
457,Dovers,VC,78.42,scattered clouds,12.8833,-61.1833,Ocean Breeze
461,Hervey Bay,AU,85.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
462,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
464,Kencong,ID,80.71,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
467,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
470,Abonnema,NG,78.66,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
471,Santa Marta,CO,84.25,clear sky,11.2408,-74.199,Casa de Isabella
480,Takoradi,GH,80.76,overcast clouds,4.8845,-1.7554,Raybow International Hotel
486,Bowen,AU,86.22,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
487,Mbandaka,CD,75.74,overcast clouds,0.0487,18.2603,Guest House Epervier
488,Ballina,AU,82.58,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
490,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
492,Keningau,MY,77.45,broken clouds,5.3378,116.1602,Sabindo Hotel
495,Kieta,PG,86.99,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
496,Long Beach,US,77.25,clear sky,33.767,-118.1892,The Westin Long Beach
498,Aguadilla,PR,77.11,broken clouds,18.4275,-67.1541,WSSM Surf House
502,Chacabuco,AR,76.93,few clouds,-34.6417,-60.4739,Club de Pesca Caza y Balneario
