City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Mugur-Aksy,RU,50.35,90.5,2.26,68,34,6.11,scattered clouds
69,Port Alfred,ZA,-33.5906,26.891,71.15,93,67,6.31,broken clouds
70,East London,ZA,-33.0153,27.9116,72.07,89,74,15.68,broken clouds
71,Nkoteng,CM,4.5167,12.0333,70.02,97,100,1.7,overcast clouds
72,Ilulissat,GL,69.2167,-51.1,15.82,86,90,10.36,overcast clouds
73,Creel,MX,27.75,-107.6333,49.48,44,96,3.53,overcast clouds
74,Nabire,ID,-3.3667,135.4833,80.26,78,100,1.41,overcast clouds
75,Shache,CN,38.4167,77.2406,22.93,56,100,0.54,overcast clouds
76,Ambulu,ID,-8.345,113.6058,78.22,85,95,2.66,overcast clouds
77,Mayumba,GA,-3.432,10.6554,76.78,94,98,4.7,overcast clouds
78,Lebu,CL,-37.6167,-73.65,60.3,90,37,3.18,scattered clouds
79,Dinar,TR,38.065,30.1656,40.78,91,100,7.72,overcast clouds
80,Nizwa,OM,22.9333,57.5333,59.02,61,0,2.64,clear sky
81,Hobyo,SO,5.3505,48.5268,76.6,68,10,20.24,clear sky
82,Trinidad,BO,-14.8333,-64.9,75.79,95,97,4.18,overcast clouds
83,Rohru,IN,31.2167,77.75,38.37,92,100,4.94,overcast clouds
84,Narsaq,GL,60.9167,-46.05,16.02,89,100,2.82,overcast clouds
85,Cabo San Lucas,MX,22.8909,-109.9124,76.3,80,100,0.0,overcast clouds
86,Prijepolje,RS,43.3719,19.6406,30.43,97,100,3.47,overcast clouds
87,Kasongo-Lunda,CD,-6.4667,16.8167,70.52,96,100,0.49,overcast clouds
88,Hithadhoo,MV,-0.6,73.0833,81.37,72,19,4.99,few clouds
89,Hilo,US,19.7297,-155.09,80.33,71,75,10.36,broken clouds
90,Padang,ID,-0.9492,100.3543,75.25,88,100,3.42,overcast clouds
91,Mahibadhoo,MV,3.7833,72.9667,81.05,73,78,8.7,broken clouds
92,Pafos,CY,34.7667,32.4167,60.58,67,75,23.02,thunderstorm with light rain
93,Talara,PE,-4.5772,-81.2719,70.86,84,50,13.69,scattered clouds
94,Guangyuan,CN,32.442,105.823,40.14,71,43,6.49,scattered clouds
95,Wadi Musa,JO,30.3222,35.4793,45.9,82,76,12.68,broken clouds
96,Namibe,AO,-15.1961,12.1522,65.7,78,58,5.86,broken clouds
97,Leh,IN,34.1667,77.5833,5.56,76,97,4.29,overcast clouds
98,Saint George,US,37.1041,-113.5841,55.44,31,0,3.0,clear sky
99,Puerto Ayora,EC,-0.7393,-90.3518,73.06,88,92,7.11,overcast clouds
100,Kutum,SD,14.2,24.6667,67.5,26,43,12.64,scattered clouds
101,Baillif,GP,16.0202,-61.7463,74.7,74,6,11.21,clear sky
102,Dingle,PH,10.9995,122.6711,77.85,86,75,7.23,broken clouds
103,Ribeira Grande,PT,38.5167,-28.7,61.16,76,100,20.94,overcast clouds
104,Souillac,MU,-20.5167,57.5167,76.35,94,75,4.61,light rain
105,Paola,IT,39.3599,16.0396,49.69,67,56,19.73,broken clouds
